CASEID,WGT2011_2015,WGT2013_2017,WGT2015_2019,WGT2011_2017,WGT2013_2019,WGT2011_2019
55874,3006.5232576,,,2238.9976814,,1655.9310196
55875,8681.6072647,,,3193.923342,,1729.5965785
55876,2431.2111376,,,1656.3573816,,1379.3591
55877,2045.8088643,,,1530.9728916,,1116.4900026
55878,4239.0790357,,,2770.3993413,,1118.693123
55879,2728.9178469,,,2768.3985069,,1904.1856175
55880,3760.7150929,,,2694.687852,,2055.9170502
55882,3049.2842695,,,2133.8656991,,1760.4435717
55883,7624.4225554,,,5348.3696207,,3549.8354906
55886,39574.78,,,27794.016079,,21350.08
55887,4698.1179104,,,3018.8287133,,2321.3306803
55888,4619.4145465,,,3312.8972922,,2528.5435361
55890,1919.6861223,,,1311.0073471,,1094.4740707
55891,6830.0381156,,,4889.3314171,,3886.0449438
55893,2413.0178326,,,1624.0092577,,1276.1899502
55896,1587.3286258,,,1080.8130025,,848.68288912
55897,5817.5142325,,,4035.9763291,,3011.0335376
55898,3058.2216077,,,2305.3280691,,1856.2154855
55900,1298.529596,,,861.61319896,,647.54259594
55901,2591.6589404,,,2546.3275018,,1781.2184551
55902,2528.729044,,,1693.3526488,,1277.3886579
55903,3402.6325611,,,2382.1291171,,1965.281861
55904,1742.6028862,,,1406.4399424,,1028.7947176
55905,1569.6823395,,,1060.1315033,,829.36053224
55908,14904.4155,,,15635.197404,,8632.9398009
55909,2785.9044028,,,1873.8935571,,1468.9234539
55911,1385.8391211,,,992.68458054,,769.87948013
55913,9486.2725403,,,6794.2753033,,5405.711401
55916,15222.427644,,,9768.537512,,7821.3723647
55918,1614.6497188,,,1088.9949324,,863.53823219
55920,3357.489023,,,2497.6515165,,1852.9982548
55922,2521.6231799,,,1816.0636479,,1406.2199503
55928,3160.8156108,,,2212.2279062,,1825.0990114
55929,9992.9723089,,,5062.329314,,3506.1691027
55930,1406.6576583,,,1182.0929546,,803.67571154
55931,6463.2867052,,,4353.5122107,,3291.8308303
55934,1761.2973816,,,1188.6123831,,929.4314967
55936,4341.2853615,,,3112.6618232,,2375.4617812
55937,2584.9983807,,,1760.185011,,1465.0082509
55938,1882.1292835,,,1410.3447407,,1024.5839375
55939,7658.3100357,,,5483.334535,,4359.9101429
55940,1416.9620762,,,1015.2469589,,787.31659392
55941,4995.0630266,,,3803.8303676,,2637.9881301
55942,14099.746508,,,11076.073011,,7522.0191849
55944,2874.5803322,,,2728.4987065,,1865.0651811
55947,11001.744752,,,7421.9696102,,5615.4621185
55949,2390.7268145,,,2257.2629099,,1540.1528529
55951,11320.748983,,,6519.2850034,,5826.4959501
55953,11533.078278,,,7397.7884909,,5817.9806021
55954,3115.2378305,,,2089.8920037,,1577.673502
55957,5388.2517933,,,3855.3405862,,3061.1801307
55958,1293.5962292,,,808.33534698,,606.70369265
55959,2188.8906585,,,1431.0072131,,1146.217199
55960,4753.8935682,,,3098.4179956,,2467.9944921
55963,1987.6467362,,,1416.5641918,,1115.6494985
55965,4530.3953821,,,3217.8092096,,2568.6731926
55966,2132.778241,,,1519.2295013,,1211.4602373
55968,2141.7186524,,,1317.6940059,,1218.1312565
55969,1717.6646746,,,1163.8577742,,915.33387527
55972,9701.0870695,,,6948.3315945,,5528.6096029
55973,2841.7519047,,,1915.0568214,,1325.8819558
55974,3425.4296791,,,2447.6839609,,1938.223926
55975,2996.5651373,,,1727.3896294,,1464.3737921
55978,4125.118502,,,2771.3476455,,2161.1216883
55981,6211.93006,,,4208.864827,,3484.9652554
55982,2955.8235113,,,2110.9014127,,1669.556095
55984,4739.7858795,,,3045.0996793,,2389.6976212
55987,2325.6760127,,,2464.2572674,,1267.7901423
55988,3755.6885092,,,1896.1918087,,1317.0655224
55989,8783.0578389,,,8873.136347,,4479.5233753
55990,2306.9678745,,,1466.2989346,,1117.0703562
55991,3038.3246804,,,2005.3280331,,1590.6903293
